filename, language, Vue, JavaScript, comment, blank, total
App.vue, Vue, 3, 0, 0, 2, 5
components\Actas\ListaActas.vue, Vue, 92, 0, 0, 21, 113
components\Actas\ModalNueva.vue, Vue, 124, 0, 2, 20, 146
components\Agenda\ListaAgendas.vue, Vue, 204, 0, 1, 28, 233
components\Agenda\NuevaAgenda.vue, Vue, 159, 0, 0, 27, 186
components\Asistencia\ListaAsistencia.vue, Vue, 290, 0, 1, 89, 380
components\Asistencia\ModalAsistencia.vue, Vue, 124, 0, 1, 26, 151
components\Asistencia\ModalDetalle.vue, Vue, 259, 0, 0, 56, 315
components\Asistencia\ModalInfo.vue, Vue, 37, 0, 0, 8, 45
components\AsistenteSesion\Agendas\Listado.vue, Vue, 6, 0, 0, 3, 9
components\AsistenteSesion\DetalleAgenda\Menu.vue, Vue, 47, 0, 0, 8, 55
components\AsistenteSesion\PuntosAgenda\Listado.vue, Vue, 314, 0, 1, 108, 423
components\Audios\Lista.vue, Vue, 167, 0, 0, 44, 211
components\Audios\Modal.vue, Vue, 157, 0, 0, 38, 195
components\Bitacora\TabAgenda.vue, Vue, 35, 0, 0, 9, 44
components\Bitacora\Tabs.vue, Vue, 17, 0, 0, 5, 22
components\Busqueda\Campo.vue, Vue, 0, 0, 0, 1, 1
components\Busqueda\Resultados.vue, Vue, 222, 0, 0, 51, 273
components\Configuracion\Menu.vue, Vue, 26, 0, 0, 5, 31
components\DetalleActa\CardDetalle.vue, Vue, 61, 0, 0, 4, 65
components\DetalleActa\Detalle.vue, Vue, 140, 0, 0, 27, 167
components\DetalleActa\Historial.vue, Vue, 79, 0, 0, 15, 94
components\DetalleActa\Menu.vue, Vue, 56, 0, 0, 13, 69
components\DetalleActa\VistaPrevia.vue, Vue, 45, 0, 0, 12, 57
components\DetalleAgenda\CardDetalle.vue, Vue, 69, 0, 0, 17, 86
components\DetalleAgenda\Detalle.vue, Vue, 229, 0, 4, 57, 290
components\DetalleAgenda\Menu.vue, Vue, 95, 0, 0, 17, 112
components\DetalleAgenda\ModalBitacora.vue, Vue, 86, 0, 0, 15, 101
components\DetalleAgenda\ModalCorreo.vue, Vue, 119, 0, 0, 35, 154
components\DetalleLote\CardDetalle.vue, Vue, 65, 0, 0, 5, 70
components\DetalleLote\Lista.vue, Vue, 104, 0, 0, 21, 125
components\DetalleLote\VistaPrevia.vue, Vue, 46, 0, 0, 13, 59
components\DetallePersona\Detalle.vue, Vue, 105, 0, 0, 12, 117
components\DetallePersona\TabBitacora.vue, Vue, 6, 0, 0, 3, 9
components\DetallePersona\TabPermisos.vue, Vue, 6, 0, 0, 3, 9
components\DetallePersona\TabUsuario.vue, Vue, 6, 0, 0, 3, 9
components\DetallePersona\Tabs.vue, Vue, 29, 0, 0, 6, 35
components\DetallePuntoActa\Audios.vue, Vue, 75, 0, 0, 19, 94
components\DetallePuntoActa\Detalle.vue, Vue, 509, 0, 0, 103, 612
components\DetallePuntoActa\Documentos.vue, Vue, 80, 0, 1, 22, 103
components\DetallePuntoActa\ModalBitacora.vue, Vue, 97, 0, 0, 21, 118
components\DetallePuntoActa\ModalNuevo.vue, Vue, 9, 0, 0, 2, 11
components\Documentos\Lista.vue, Vue, 177, 0, 0, 44, 221
components\Documentos\Modal.vue, Vue, 191, 0, 1, 42, 234
components\Errores\Error.vue, Vue, 8, 0, 0, 7, 15
components\HelloWorld.vue, Vue, 57, 0, 0, 3, 60
components\Hojas\Lista.vue, Vue, 85, 0, 0, 23, 108
components\Hojas\ModalLote.vue, Vue, 95, 0, 0, 19, 114
components\Home\MenuPrincipal.vue, Vue, 67, 0, 0, 8, 75
components\Home\NavBar.vue, Vue, 52, 0, 0, 11, 63
components\Impresion\Listado.vue, Vue, 111, 0, 0, 36, 147
components\Impresion\ModalArchivo.vue, Vue, 374, 0, 11, 187, 572
components\Impresion\ModalImpresion.vue, Vue, 196, 0, 5, 50, 251
components\Login\FormLogin.vue, Vue, 107, 0, 0, 23, 130
components\Personas\ListaPersonas.vue, Vue, 106, 0, 0, 31, 137
