Date : 2019-11-12 12:19:50
Directory : c:\xampp\htdocs\apps\app_concejo\src
Total : 111 files,  11064 codes, 203 comments, 2630 blanks, all 13897 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |        107 |     10,723 |        165 |      2,577 |     13,465 |
| JavaScript |          4 |        341 |         38 |         53 |        432 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                           |        111 |     11,064 |        203 |      2,630 |     13,897 |
| components                                                  |         71 |      9,089 |        151 |      2,275 |     11,515 |
| views                                                       |         35 |      1,631 |         14 |        300 |      1,945 |
| components\PuntosAgenda                                     |          5 |        953 |          5 |        286 |      1,244 |
| components\Revisor_Actas                                    |          5 |        920 |         68 |        226 |      1,214 |
| components\Revisor_Agendas\Agenda                           |          4 |        817 |         50 |        213 |      1,080 |
| components\Revisor_Agendas                                  |          4 |        817 |         50 |        213 |      1,080 |
| components\DetallePuntoActa                                 |          5 |        770 |          1 |        167 |        938 |
| components\Asistencia                                       |          4 |        710 |          2 |        179 |        891 |
| components\Impresion                                        |          3 |        681 |         16 |        273 |        970 |
| components\DetalleAgenda                                    |          5 |        598 |          4 |        141 |        743 |
| components\Revisor_Actas\DetallePuntoActa                   |          1 |        441 |         39 |        102 |        582 |
| components\DetalleActa                                      |          5 |        381 |          0 |         71 |        452 |
| components\Documentos                                       |          2 |        368 |          1 |         86 |        455 |
| components\AsistenteSesion                                  |          3 |        367 |          1 |        119 |        487 |
| components\Revisor_Agendas\Agenda\PuntosAgenda              |          1 |        364 |          4 |        118 |        486 |
| components\Agenda                                           |          2 |        363 |          1 |         55 |        419 |
| components\Audios                                           |          2 |        324 |          0 |         82 |        406 |
| components\AsistenteSesion\PuntosAgenda                     |          1 |        314 |          1 |        108 |        423 |
| components\PuntosActa                                       |          2 |        278 |          0 |         62 |        340 |
| components\Revisor_Agendas\Agenda\DetalleAgenda             |          2 |        271 |         45 |         66 |        382 |
| components\Busqueda                                         |          2 |        222 |          0 |         52 |        274 |
| components\Actas                                            |          2 |        216 |          2 |         41 |        259 |
| components\DetalleLote                                      |          3 |        215 |          0 |         39 |        254 |
| components\Revisor_Actas\PuntosActa                         |          1 |        210 |         29 |         63 |        302 |
| components\Personas                                         |          2 |        205 |          0 |         43 |        248 |
| components\Revisor_Actas\DetalleActa                        |          2 |        196 |          0 |         40 |        236 |
| views\Revisor_Actas                                         |          4 |        195 |          2 |         34 |        231 |
| views\Revisor_Agendas                                       |          3 |        185 |          3 |         34 |        222 |
| components\Hojas                                            |          2 |        180 |          0 |         42 |        222 |
| views\Asistente_Sesion                                      |          4 |        171 |          2 |         31 |        204 |
| components\DetallePersona                                   |          5 |        152 |          0 |         27 |        179 |
| components\Home                                             |          2 |        119 |          0 |         19 |        138 |
| components\Login                                            |          1 |        107 |          0 |         23 |        130 |
| components\Revisor_Actas\Actas                              |          1 |         73 |          0 |         21 |         94 |
| components\Bitacora                                         |          2 |         52 |          0 |         14 |         66 |
| components\AsistenteSesion\DetalleAgenda                    |          1 |         47 |          0 |          8 |         55 |
| components\Configuracion                                    |          1 |         26 |          0 |          5 |         31 |
| components\Errores                                          |          1 |          8 |          0 |          7 |         15 |
| components\AsistenteSesion\Agendas                          |          1 |          6 |          0 |          3 |          9 |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                    | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| App.vue                                                     | Vue        |          3 |          0 |          2 |          5 |
| components\Actas\ListaActas.vue                             | Vue        |         92 |          0 |         21 |        113 |
| components\Actas\ModalNueva.vue                             | Vue        |        124 |          2 |         20 |        146 |
| components\Agenda\ListaAgendas.vue                          | Vue        |        204 |          1 |         28 |        233 |
| components\Agenda\NuevaAgenda.vue                           | Vue        |        159 |          0 |         27 |        186 |
| components\Asistencia\ListaAsistencia.vue                   | Vue        |        290 |          1 |         89 |        380 |
| components\Asistencia\ModalAsistencia.vue                   | Vue        |        124 |          1 |         26 |        151 |
| components\Asistencia\ModalDetalle.vue                      | Vue        |        259 |          0 |         56 |        315 |
| components\Asistencia\ModalInfo.vue                         | Vue        |         37 |          0 |          8 |         45 |
| components\AsistenteSesion\Agendas\Listado.vue              | Vue        |          6 |          0 |          3 |          9 |
| components\AsistenteSesion\DetalleAgenda\Menu.vue           | Vue        |         47 |          0 |          8 |         55 |
| components\AsistenteSesion\PuntosAgenda\Listado.vue         | Vue        |        314 |          1 |        108 |        423 |
| components\Audios\Lista.vue                                 | Vue        |        167 |          0 |         44 |        211 |
| components\Audios\Modal.vue                                 | Vue        |        157 |          0 |         38 |        195 |
| components\Bitacora\TabAgenda.vue                           | Vue        |         35 |          0 |          9 |         44 |
| components\Bitacora\Tabs.vue                                | Vue        |         17 |          0 |          5 |         22 |
| components\Busqueda\Campo.vue                               | Vue        |          0 |          0 |          1 |          1 |
| components\Busqueda\Resultados.vue                          | Vue        |        222 |          0 |         51 |        273 |
| components\Configuracion\Menu.vue                           | Vue        |         26 |          0 |          5 |         31 |
| components\DetalleActa\CardDetalle.vue                      | Vue        |         61 |          0 |          4 |         65 |
| components\DetalleActa\Detalle.vue                          | Vue        |        140 |          0 |         27 |        167 |
| components\DetalleActa\Historial.vue                        | Vue        |         79 |          0 |         15 |         94 |
| components\DetalleActa\Menu.vue                             | Vue        |         56 |          0 |         13 |         69 |
| components\DetalleActa\VistaPrevia.vue                      | Vue        |         45 |          0 |         12 |         57 |
| components\DetalleAgenda\CardDetalle.vue                    | Vue        |         69 |          0 |         17 |         86 |
| components\DetalleAgenda\Detalle.vue                        | Vue        |        229 |          4 |         57 |        290 |
| components\DetalleAgenda\Menu.vue                           | Vue        |         95 |          0 |         17 |        112 |
| components\DetalleAgenda\ModalBitacora.vue                  | Vue        |         86 |          0 |         15 |        101 |
| components\DetalleAgenda\ModalCorreo.vue                    | Vue        |        119 |          0 |         35 |        154 |
| components\DetalleLote\CardDetalle.vue                      | Vue        |         65 |          0 |          5 |         70 |
| components\DetalleLote\Lista.vue                            | Vue        |        104 |          0 |         21 |        125 |
| components\DetalleLote\VistaPrevia.vue                      | Vue        |         46 |          0 |         13 |         59 |
| components\DetallePersona\Detalle.vue                       | Vue        |        105 |          0 |         12 |        117 |
| components\DetallePersona\TabBitacora.vue                   | Vue        |          6 |          0 |          3 |          9 |
| components\DetallePersona\TabPermisos.vue                   | Vue        |          6 |          0 |          3 |          9 |
| components\DetallePersona\TabUsuario.vue                    | Vue        |          6 |          0 |          3 |          9 |
| components\DetallePersona\Tabs.vue                          | Vue        |         29 |          0 |          6 |         35 |
| components\DetallePuntoActa\Audios.vue                      | Vue        |         75 |          0 |         19 |         94 |
| components\DetallePuntoActa\Detalle.vue                     | Vue        |        509 |          0 |        103 |        612 |
| components\DetallePuntoActa\Documentos.vue                  | Vue        |         80 |          1 |         22 |        103 |
| components\DetallePuntoActa\ModalBitacora.vue               | Vue        |         97 |          0 |         21 |        118 |
| components\DetallePuntoActa\ModalNuevo.vue                  | Vue        |          9 |          0 |          2 |         11 |
| components\Documentos\Lista.vue                             | Vue        |        177 |          0 |         44 |        221 |
| components\Documentos\Modal.vue                             | Vue        |        191 |          1 |         42 |        234 |
| components\Errores\Error.vue                                | Vue        |          8 |          0 |          7 |         15 |
| components\HelloWorld.vue                                   | Vue        |         57 |          0 |          3 |         60 |
| components\Hojas\Lista.vue                                  | Vue        |         85 |          0 |         23 |        108 |
| components\Hojas\ModalLote.vue                              | Vue        |         95 |          0 |         19 |        114 |
| components\Home\MenuPrincipal.vue                           | Vue        |         67 |          0 |          8 |         75 |
| components\Home\NavBar.vue                                  | Vue        |         52 |          0 |         11 |         63 |
| components\Impresion\Listado.vue                            | Vue        |        111 |          0 |         36 |        147 |
| components\Impresion\ModalArchivo.vue                       | Vue        |        374 |         11 |        187 |        572 |
| components\Impresion\ModalImpresion.vue                     | Vue        |        196 |          5 |         50 |        251 |
| components\Login\FormLogin.vue                              | Vue        |        107 |          0 |         23 |        130 |
| components\Personas\ListaPersonas.vue                       | Vue        |        106 |          0 |         31 |        137 |
| components\Personas\ModalPersona.vue                        | Vue        |         99 |          0 |         12 |        111 |
| components\PuntosActa\Listado.vue                           | Vue        |        169 |          0 |         39 |        208 |
| components\PuntosActa\ModalRevision.vue                     | Vue        |        109 |          0 |         23 |        132 |
| components\PuntosAgenda\Listado.vue                         | Vue        |        339 |          1 |        107 |        447 |
| components\PuntosAgenda\ModalConcejo.vue                    | Vue        |        356 |          1 |        109 |        466 |
| components\PuntosAgenda\ModalDetalle.vue                    | Vue        |         52 |          0 |         13 |         65 |
| components\PuntosAgenda\ModalPDF.vue                        | Vue        |         58 |          3 |         16 |         77 |
| components\PuntosAgenda\ModalPunto.vue                      | Vue        |        148 |          0 |         41 |        189 |
| components\Revisor_Actas\Actas\ListaActas.vue               | Vue        |         73 |          0 |         21 |         94 |
| components\Revisor_Actas\DetalleActa\Detalle.vue            | Vue        |        140 |          0 |         27 |        167 |
| components\Revisor_Actas\DetalleActa\Menu.vue               | Vue        |         56 |          0 |         13 |         69 |
| components\Revisor_Actas\DetallePuntoActa\Detalle.vue       | Vue        |        441 |         39 |        102 |        582 |
| components\Revisor_Actas\PuntosActa\Listado.vue             | Vue        |        210 |         29 |         63 |        302 |
| components\Revisor_Agendas\Agenda\DetalleAgenda\Detalle.vue | Vue        |        176 |         45 |         49 |        270 |
| components\Revisor_Agendas\Agenda\DetalleAgenda\Menu.vue    | Vue        |         95 |          0 |         17 |        112 |
| components\Revisor_Agendas\Agenda\ListaAgendas.vue          | Vue        |        182 |          1 |         29 |        212 |
| components\Revisor_Agendas\Agenda\PuntosAgenda\Listado.vue  | Vue        |        364 |          4 |        118 |        486 |
| main.js                                                     | JavaScript |         26 |         21 |         14 |         61 |
| registerServiceWorker.js                                    | JavaScript |         29 |          1 |          3 |         33 |
| router.js                                                   | JavaScript |        227 |         16 |         24 |        267 |
| store.js                                                    | JavaScript |         59 |          0 |         12 |         71 |
| views\About.vue                                             | Vue        |          5 |          0 |          1 |          6 |
| views\Actas.vue                                             | Vue        |         30 |          0 |          7 |         37 |
| views\Agenda.vue                                            | Vue        |         30 |          0 |          6 |         36 |
| views\Asistencia.vue                                        | Vue        |         43 |          1 |          7 |         51 |
| views\Asistente_Sesion\Agendas.vue                          | Vue        |         30 |          0 |          5 |         35 |
| views\Asistente_Sesion\Asistencia.vue                       | Vue        |         39 |          1 |          5 |         45 |
| views\Asistente_Sesion\DetalleAgenda.vue                    | Vue        |         62 |          0 |         14 |         76 |
| views\Asistente_Sesion\PuntosAgenda.vue                     | Vue        |         40 |          1 |          7 |         48 |
| views\Audios.vue                                            | Vue        |        101 |          0 |         13 |        114 |
| views\Bitacora.vue                                          | Vue        |         40 |          0 |          6 |         46 |
| views\Busqueda.vue                                          | Vue        |         30 |          0 |          7 |         37 |
| views\Calendario.vue                                        | Vue        |          6 |          0 |          3 |          9 |
| views\Configuracion.vue                                     | Vue        |         30 |          0 |          7 |         37 |
| views\Dashboard.vue                                         | Vue        |          0 |          0 |          1 |          1 |
| views\DetalleActa.vue                                       | Vue        |         39 |          0 |          7 |         46 |
| views\DetalleAgenda.vue                                     | Vue        |         64 |          1 |         15 |         80 |
| views\DetalleLote.vue                                       | Vue        |         34 |          0 |          5 |         39 |
| views\DetallePersona.vue                                    | Vue        |         40 |          0 |          6 |         46 |
| views\DetallePuntoActa.vue                                  | Vue        |         66 |          1 |         13 |         80 |
| views\Documentos.vue                                        | Vue        |        105 |          0 |         14 |        119 |
| views\HojasContraloria.vue                                  | Vue        |         30 |          0 |          8 |         38 |
| views\Home.vue                                              | Vue        |         96 |          0 |         30 |        126 |
| views\ImpresionActas.vue                                    | Vue        |         59 |          1 |         11 |         71 |
| views\Login.vue                                             | Vue        |         25 |          0 |          6 |         31 |
| views\Personas.vue                                          | Vue        |         34 |          0 |          6 |         40 |
| views\PuntosActa.vue                                        | Vue        |         60 |          1 |          7 |         68 |
| views\PuntosAgenda.vue                                      | Vue        |        113 |          2 |         14 |        129 |
| views\Revisor_Actas\Actas.vue                               | Vue        |         30 |          0 |          5 |         35 |
| views\Revisor_Actas\DetalleActa.vue                         | Vue        |         39 |          0 |          9 |         48 |
| views\Revisor_Actas\DetallePuntoActa.vue                    | Vue        |         66 |          1 |         13 |         80 |
| views\Revisor_Actas\PuntosActa.vue                          | Vue        |         60 |          1 |          7 |         68 |
| views\Revisor_Agendas\Agendas.vue                           | Vue        |         30 |          0 |          5 |         35 |
| views\Revisor_Agendas\DetalleAgenda.vue                     | Vue        |         64 |          1 |         15 |         80 |
| views\Revisor_Agendas\PuntosAgenda.vue                      | Vue        |         91 |          2 |         14 |        107 |
| views\Usuarios.vue                                          | Vue        |          0 |          0 |          1 |          1 |
| Total                                                       |            |     11,064 |        203 |      2,630 |     13,897 |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
